ID,カテゴリ,雑種・品種,科番号APG,APG番号::科和名APG,APG番号::科学名APG,和名,採用学名,自生,固有
1981,1,,3,ジュンサイ科,Cabombaceae,ジュンサイ,Brasenia schreberi J.F.Gmel.,自生,
1983,1,,4,スイレン科,Nymphaeaceae,オニバス,Euryale ferox Salisb.,自生,
1986,1,,4,スイレン科,Nymphaeaceae,コウホネ,Nuphar japonica DC.,自生,
1987,3,f,4,スイレン科,Nymphaeaceae,ベニコウホネ,Nuphar japonica DC.  f. rubrotincta (Casp.) Kitam.,自生,
1988,1,,4,スイレン科,Nymphaeaceae,ベニオグラコウホネ,Nuphar oguraensis Miki var. akiensis M. Shimoda,自生,
1989,1,,4,スイレン科,Nymphaeaceae,オグラコウホネ,Nuphar oguraensis Miki var. oguraensis,自生,
1990,1,,4,スイレン科,Nymphaeaceae,オゼコウホネ,Nuphar pumila (Timm) DC. var. ozeensis H.Hara,自生,固有
1991,3,f,4,スイレン科,Nymphaeaceae,ウリュウコウホネ,"Nuphar pumila (Timm) DC. var. ozeensis H.Hara f. rubro-ovaria Koji Ito ex Hideki Takah., M.Yamazaki et J.Sasaki",自生,
1992,1,,4,スイレン科,Nymphaeaceae,ネムロコウホネ,Nuphar pumila (Timm) DC. var. pumila,自生,
1993,4,h,4,スイレン科,Nymphaeaceae,サイコクヒメコウホネ,Nuphar saikokuensis Shiga et Kadono,自生,
1994,1,,4,スイレン科,Nymphaeaceae,ヒメコウホネ,Nuphar subintegerrima (Casp.) Makino,自生,
1995,1,,4,スイレン科,Nymphaeaceae,シモツケコウホネ,Nuphar submersa Shiga et Kadono,自生,固有
1996,4,h,4,スイレン科,Nymphaeaceae,ナガレコウホネ,Nuphar x fluminalis Shiga et Kadono,自生,
1997,4,h,4,スイレン科,Nymphaeaceae,ホッカイコウホネ,Nuphar x hokkaiensis Shiga et Kadono,自生,
1998,1,,4,スイレン科,Nymphaeaceae,サイジョウコウホネ,Nuphar x saijoensis (M. Shimoda) Padgett et M. Shimoda,自生,
2010,1,,4,スイレン科,Nymphaeaceae,ヒツジグサ,Nymphaea tetragona Georgi,自生,
13913,1,,4,スイレン科,Nymphaeaceae,エゾベニヒツジグサ,Nymphaea tetragona Georgi var. erythrostigmatica Koji Ito,自生,
1301,3,f,7,マツブサ科,Schisandraceae,ウスベニシキミ,Illicium anisatum L. f. roseum (Makino) Okuyama,自生,
1302,1,,7,マツブサ科,Schisandraceae,シキミ,Illicium anisatum L. var. anisatum,自生,
1303,1,,7,マツブサ科,Schisandraceae,オキナワシキミ,Illicium anisatum L. var. masa-ogatae (Makino) Honda,自生,固有
1306,1,,7,マツブサ科,Schisandraceae,ヤエヤマシキミ,Illicium tashiroi Maxim.,自生,
1295,1,,7,マツブサ科,Schisandraceae,サネカズラ,Kadsura japonica (L.) Dunal,自生,
13945,1,,7,マツブサ科,Schisandraceae,リュウキュウサネカズラ,Kadsura matsudae Hayata,自生,
1298,1,,7,マツブサ科,Schisandraceae,チョウセンゴミシ,Schisandra chinensis (Turcz.) Baill.,自生,
1299,1,,7,マツブサ科,Schisandraceae,マツブサ,Schisandra repanda (Siebold et Zucc.) Radlk.,自生,
1300,3,f,7,マツブサ科,Schisandraceae,ウラジロマツブサ,Schisandra repanda (Siebold et Zucc.) Radlk. f. discolor (Nakai) Yonek.,自生,
2039,1,,8,センリョウ科,Chloranthaceae,キビヒトリシズカ,Chloranthus fortunei (A. Gray) Solms,自生,
2040,1,,8,センリョウ科,Chloranthaceae,ヒトリシズカ,Chloranthus quadrifolius (A.Gray) H.Ohba et S.Akiyama,自生,
2041,1,,8,センリョウ科,Chloranthaceae,フタリシズカ,Chloranthus serratus (Thunb.) Roem. et Schult.,自生,
2043,1,,8,センリョウ科,Chloranthaceae,センリョウ,Sarcandra glabra (Thunb.) Nakai,自生,
2044,3,f,8,センリョウ科,Chloranthaceae,キミノセンリョウ,Sarcandra glabra (Thunb.) Nakai f. flava (Makino) Okuyama,自生,
2018,1,,11,ドクダミ科,Saururaceae,ドクダミ,Houttuynia cordata Thunb.,自生,
2021,3,f,11,ドクダミ科,Saururaceae,ミドリドクダミ,Houttuynia cordata Thunb. f. viridis J.Ohara,自生,
2022,1,,11,ドクダミ科,Saururaceae,ハンゲショウ,Saururus chinensis (Lour.) Baill.,自生,
2023,1,,12,コショウ科,Piperaceae,シマゴショウ,Peperomia boninsimensis Makino,自生,固有
2027,1,,12,コショウ科,Piperaceae,サダソウ,Peperomia japonica Makino,自生,
2029,1,,12,コショウ科,Piperaceae,オキナワスナゴショウ,Peperomia japonica Makino var. okinawensis (T.Yamaz.) Y.H.Kobay. et M.N.Tamura,自生,固有
2034,1,,12,コショウ科,Piperaceae,フウトウカズラ,Piper kadsura (Choisy) Ohwi,自生,
2037,1,,12,コショウ科,Piperaceae,タイヨウフウトウカズラ,Piper postelsianum Maxim.,自生,固有
2045,1,,15,ウマノスズクサ科,Aristolochiaceae,マルバウマノスズクサ,Aristolochia contorta Bunge,自生,
2046,1,,15,ウマノスズクサ科,Aristolochiaceae,ウマノスズクサ,Aristolochia debilis Siebold et Zucc.,自生,
2048,1,,15,ウマノスズクサ科,Aristolochiaceae,オオバウマノスズクサ,Aristolochia kaempferi Willd.,自生,固有
13999,1,,15,ウマノスズクサ科,Aristolochiaceae,イセノウマノスズクサ,Aristolochia kaempferi Willd. var. laevipes Watan.-Toma & Ohi-Toma,自生,固有
2049,1,,15,ウマノスズクサ科,Aristolochiaceae,リュウキュウウマノスズクサ,Aristolochia liukiuensis Hatus.,自生,
2051,1,,15,ウマノスズクサ科,Aristolochiaceae,アリマウマノスズクサ,Aristolochia shimadae Hayata,自生,
2052,1,,15,ウマノスズクサ科,Aristolochiaceae,タンザワウマノスズクサ,Aristolochia tanzawana (Kigawa) Watan.-Toma et Ohi-Toma,自生,固有
2053,1,,15,ウマノスズクサ科,Aristolochiaceae,コウシュンウマノスズクサ,Aristolochia zollingeriana Miq.,自生,
2054,1,,15,ウマノスズクサ科,Aristolochiaceae,タイリンアオイ,Asarum asaroides (C.Morren et Decne.) Makino,自生,固有
2055,1,,15,ウマノスズクサ科,Aristolochiaceae,ミヤコアオイ,Asarum asperum F.Maek. var. asperum,自生,固有
2056,1,,15,ウマノスズクサ科,Aristolochiaceae,ツチグリカンアオイ,Asarum asperum F.Maek. var. geaster (F.Maek. ex Akasawa) T.Sugaw.,自生,固有
2057,1,,15,ウマノスズクサ科,Aristolochiaceae,ランヨウアオイ,Asarum blumei Duch.,自生,固有
2060,1,,15,ウマノスズクサ科,Aristolochiaceae,オナガサイシン,Asarum caudigerum Hance,自生,
2061,1,,15,ウマノスズクサ科,Aristolochiaceae,フタバアオイ,Asarum caulescens Maxim.,自生,固有
2062,3,f,15,ウマノスズクサ科,Aristolochiaceae,シロガネアオイ,Asarum caulescens Maxim. f. geroensis J.Ohara,自生,
2063,1,,15,ウマノスズクサ科,Aristolochiaceae,ミヤビカンアオイ,Asarum celsum F.Maek. ex Hatus. et Yamahata,自生,固有
2065,1,,15,ウマノスズクサ科,Aristolochiaceae,トサノアオイ,Asarum costatum (F.Maek.) F.Maek.,自生,固有
2066,1,,15,ウマノスズクサ科,Aristolochiaceae,ナンゴクアオイ,Asarum crassum F.Maek.,自生,固有
2067,1,,15,ウマノスズクサ科,Aristolochiaceae,カギガタアオイ,Asarum curvistigma F.Maek.,自生,固有
2068,1,,15,ウマノスズクサ科,Aristolochiaceae,スエヒロアオイ,Asarum dilatatum (F.Maek.) T.Sugaw.,自生,固有
2069,1,,15,ウマノスズクサ科,Aristolochiaceae,クロフネサイシン,Asarum dimidiatum F.Maek.,自生,固有
2070,1,,15,ウマノスズクサ科,Aristolochiaceae,オモロカンアオイ,Asarum dissitum Hatus.,自生,固有
2073,1,,15,ウマノスズクサ科,Aristolochiaceae,ミチノクサイシン,Asarum fauriei Franch. var. fauriei,自生,固有
2074,1,,15,ウマノスズクサ科,Aristolochiaceae,ミヤマアオイ,Asarum fauriei Franch. var. nakaianum (F.Maek.) Ohwi ex T.Sugaw.,自生,固有
2076,1,,15,ウマノスズクサ科,Aristolochiaceae,フジノカンアオイ,Asarum fudsinoi T.Itô,自生,固有
2077,1,,15,ウマノスズクサ科,Aristolochiaceae,エクボサイシン,Asarum gelasinum Hatus.,自生,固有
2078,1,,15,ウマノスズクサ科,Aristolochiaceae,グスクカンアオイ,Asarum gusk Yamahata,自生,固有
2079,1,,15,ウマノスズクサ科,Aristolochiaceae,ハツシマカンアオイ,Asarum hatsushimae F.Maek. ex Hatus. et Yamahata,自生,固有
2080,3,f,15,ウマノスズクサ科,Aristolochiaceae,モエギオクエゾサイシン,Asarum heterotropoides F.Schmidt f. viridis (Sugaya) Yamaji et Ter.Nakam.,自生,固有
2081,1,,15,ウマノスズクサ科,Aristolochiaceae,オクエゾサイシン,Asarum heterotropoides F.Schmidt var. heterotropoides,自生,
2083,1,,15,ウマノスズクサ科,Aristolochiaceae,シジキカンアオイ,Asarum hexalobum F.Maek. var. controversum Hatus. et Yamahata,自生,固有
2084,1,,15,ウマノスズクサ科,Aristolochiaceae,サンヨウアオイ,Asarum hexalobum F.Maek. var. hexalobum,自生,固有
2085,1,,15,ウマノスズクサ科,Aristolochiaceae,キンチャクアオイ,Asarum hexalobum F.Maek. var. perfectum F.Maek.,自生,
2087,1,,15,ウマノスズクサ科,Aristolochiaceae,アラカワカンアオイ,Asarum ikegamii (F.Maek. ex Y.Maek.) T.Sugaw. var. fujimakii T.Sugaw.,自生,固有
2088,1,,15,ウマノスズクサ科,Aristolochiaceae,ユキグニカンアオイ,Asarum ikegamii (F.Maek. ex Y.Maek.) T.Sugaw. var. ikegamii,自生,固有
2089,1,,15,ウマノスズクサ科,Aristolochiaceae,ジュロウカンアオイ,Asarum kinoshitae (F.Maek. ex Kinoshita) T.Sugaw.,自生,固有
2090,1,,15,ウマノスズクサ科,Aristolochiaceae,ツクシアオイ,Asarum kiusianum F.Maek. var. kiusianum,自生,固有
2092,1,,15,ウマノスズクサ科,Aristolochiaceae,コウヤカンアオイ,Asarum kooyanum Makino,自生,固有
2093,1,,15,ウマノスズクサ科,Aristolochiaceae,クワイバカンアオイ,Asarum kumageanum Masam. var. kumageanum,自生,固有
2094,1,,15,ウマノスズクサ科,Aristolochiaceae,ムラクモアオイ,Asarum kumageanum Masam. var. satakeanum (F.Maek.) Hatus.,自生,固有
2095,1,,15,ウマノスズクサ科,Aristolochiaceae,イワタカンアオイ,Asarum kurosawae Sugim.,自生,固有
2096,1,,15,ウマノスズクサ科,Aristolochiaceae,タニムラアオイ,Asarum leucosepalum Hatus. ex Yamahata,自生,固有
2097,1,,15,ウマノスズクサ科,Aristolochiaceae,オオバカンアオイ,Asarum lutchuense (Honda) Koidz.,自生,固有
2155,1,,15,ウマノスズクサ科,Aristolochiaceae,コトウカンアオイ,Asarum majale T.Sugaw.,自生,固有
2100,1,,15,ウマノスズクサ科,Aristolochiaceae,イズモサイシン,Asarum maruyamae Yamaji et Ter.Nakam.,自生,固有
2101,1,,15,ウマノスズクサ科,Aristolochiaceae,コシノカンアオイ,Asarum megacalyx (F.Maek.) F.Maek.,自生,固有
2102,1,,15,ウマノスズクサ科,Aristolochiaceae,ミクニサイシン,Asarum mikuniense Yamaji et Ter.Nakam.,自生,固有
2103,1,,15,ウマノスズクサ科,Aristolochiaceae,オナガカンアオイ,Asarum minamitanianum Hatus.,自生,固有
2104,1,,15,ウマノスズクサ科,Aristolochiaceae,アソサイシン,Asarum misandrum B.U.Oh et J.G.Kim,自生,
2105,1,,15,ウマノスズクサ科,Aristolochiaceae,フクエジマカンアオイ,Asarum mitoanum T.Sugaw.,自生,固有
2106,1,,15,ウマノスズクサ科,Aristolochiaceae,モノドラカンアオイ,Asarum monodoriflorum Hatus. et Yamahata,自生,固有
2107,1,,15,ウマノスズクサ科,Aristolochiaceae,アマギカンアオイ,Asarum muramatsui Makino var. muramatsui,自生,固有
2108,1,,15,ウマノスズクサ科,Aristolochiaceae,シモダカンアオイ,Asarum muramatsui Makino var. shimodanum (F.Maek.) comb. nud.,自生,固有
2109,1,,15,ウマノスズクサ科,Aristolochiaceae,ナゼカンアオイ,Asarum nazeanum T.Sugaw.,自生,固有
2110,1,,15,ウマノスズクサ科,Aristolochiaceae,ナンカイアオイ,Asarum nipponicum F.Maek. var. nankaiense (F.Maek.) T.Sugaw.,自生,固有
2111,4,h,15,ウマノスズクサ科,Aristolochiaceae,サヌキカンアオイ,Asarum nipponicum F.Maek. var. nankaiense (F.Maek.) T.Sugaw. x Asarum asperum F.Maek.,自生,固有
2112,1,,15,ウマノスズクサ科,Aristolochiaceae,カンアオイ,Asarum nipponicum F.Maek. var. nipponicum,自生,固有
2113,1,,15,ウマノスズクサ科,Aristolochiaceae,ノマダケカンアオイ,Asarum nomadakense Hatus.,自生,固有
2115,1,,15,ウマノスズクサ科,Aristolochiaceae,ヒナカンアオイ,Asarum okinawense Hatus.,自生,固有
2118,1,,15,ウマノスズクサ科,Aristolochiaceae,トリガミネカンアオイ,Asarum pellucidum Hatus. et Yamahata,自生,固有
2119,1,,15,ウマノスズクサ科,Aristolochiaceae,モモイロカンアオイ,"Asarum rigescens F.Maek. var. albescens (F.Maek. ex Akasawa) Mot.Ito, Nagamasu et Yahara, comb. nov.",自生,固有
2120,1,,15,ウマノスズクサ科,Aristolochiaceae,スズカカンアオイ,Asarum rigescens F.Maek. var. brachypodion T.Sugaw.,自生,固有
2121,1,,15,ウマノスズクサ科,Aristolochiaceae,アツミカンアオイ,Asarum rigescens F.Maek. var. rigescens,自生,固有
2122,1,,15,ウマノスズクサ科,Aristolochiaceae,サカワサイシン,Asarum sakawanum Makino var. sakawanum,自生,固有
2123,1,,15,ウマノスズクサ科,Aristolochiaceae,ホシザキカンアオイ,Asarum sakawanum Makino var. stellatum (F.Maek. ex Akasawa) T.Sugaw.,自生,固有
2124,1,,15,ウマノスズクサ科,Aristolochiaceae,サツマアオイ,Asarum satsumense F.Maek.,自生,固有
2125,1,,15,ウマノスズクサ科,Aristolochiaceae,イセノカンアオイ,Asarum savatieri (Franch.) F.Maek. subsp. pseudosavatieri (F.Maek.) T.Sugaw. var. iseanum T.Sugaw.,自生,固有
2126,1,,15,ウマノスズクサ科,Aristolochiaceae,ズソウカンアオイ,Asarum savatieri Franch. subsp. pseudosavatieri (F.Maek.) T.Sugaw. var. pseudosavatieri (F.Maek.) T.Sugaw.,自生,固有
2127,1,,15,ウマノスズクサ科,Aristolochiaceae,オトメアオイ,Asarum savatieri Franch. subsp. savatieri,自生,固有
2128,1,,15,ウマノスズクサ科,Aristolochiaceae,センカクカンアオイ,Asarum senkakuinsulare Hatus.,自生,固有
2129,1,,15,ウマノスズクサ科,Aristolochiaceae,ウスバサイシン,Asarum sieboldii Miq.,自生,固有
2130,1,,15,ウマノスズクサ科,Aristolochiaceae,トクノシマカンアオイ,Asarum simile Hatus.,自生,固有
2131,1,,15,ウマノスズクサ科,Aristolochiaceae,マルミカンアオイ,Asarum subglobosum F.Maek. ex Hatus. et Yamahata,自生,固有
2132,1,,15,ウマノスズクサ科,Aristolochiaceae,アサトカンアオイ,Asarum tabatanum T.Sugaw.,自生,固有
2135,1,,15,ウマノスズクサ科,Aristolochiaceae,キナンカンアオイ,Asarum takaoi F.Maek. var. austrokiiensis (Kinoshita) Yonek.,自生,固有
2136,1,,15,ウマノスズクサ科,Aristolochiaceae,ゼニバサイシン,Asarum takaoi F.Maek. var. hisauchii (F.Maek.) F.Maek.,自生,固有
2137,1,,15,ウマノスズクサ科,Aristolochiaceae,ヒメカンアオイ,Asarum takaoi F.Maek. var. takaoi,自生,固有
2138,1,,15,ウマノスズクサ科,Aristolochiaceae,タマノカンアオイ,Asarum tamaense Makino,自生,固有
2140,1,,15,ウマノスズクサ科,Aristolochiaceae,トウゴクサイシン,Asarum tohokuense Yamaji et Ter.Nakam.,自生,固有
2141,1,,15,ウマノスズクサ科,Aristolochiaceae,トカラカンアオイ,Asarum tokarense Hatus.,自生,固有
2142,1,,15,ウマノスズクサ科,Aristolochiaceae,サンコカンアオイ,Asarum trigynum (F.Maek.) Araki,自生,固有
2143,1,,15,ウマノスズクサ科,Aristolochiaceae,カケロマカンアオイ,Asarum trinacriforme Yamahata,自生,固有
2144,1,,15,ウマノスズクサ科,Aristolochiaceae,ウンゼンカンアオイ,Asarum unzen (F.Maek.) Kitam. et Murata,自生,固有
2145,3,f,15,ウマノスズクサ科,Aristolochiaceae,モエギウンゼンカンアオイ,Asarum unzen (F.Maek.) Kitam. et Murata f. luteoviride Yonek. et H.Ohashi,自生,
2150,1,,15,ウマノスズクサ科,Aristolochiaceae,ヤエヤマカンアオイ,Asarum yaeyamense Hatus.,自生,固有
2151,1,,15,ウマノスズクサ科,Aristolochiaceae,オニカンアオイ,Asarum yakusimense Masam.,自生,固有
2152,1,,15,ウマノスズクサ科,Aristolochiaceae,ヒゴカンアオイ,Asarum yamashiroi Hatus.,自生,固有
2153,1,,15,ウマノスズクサ科,Aristolochiaceae,クロヒメカンアオイ,Asarum yoshikawae T.Sugaw.,自生,固有
2154,1,,15,ウマノスズクサ科,Aristolochiaceae,オキノシマカンアオイ,"Heterotropa sugimotoi Asakawa et Shinmyo, nom. inval.",自生,固有
1256,1,,17,モクレン科,Magnoliaceae,オガタマノキ,Magnolia compressa Maxim.,自生,固有
1259,1,,17,モクレン科,Magnoliaceae,タイワンオガタマノキ,Magnolia compressa Maxim. var. formosana (Kaneh.) C.F.Chen,自生,
1263,1,,17,モクレン科,Magnoliaceae,キタコブシ,Magnolia kobus DC. var. borealis Sarg.,自生,固有
1264,1,,17,モクレン科,Magnoliaceae,コブシ,Magnolia kobus DC. var. kobus,自生,
1267,1,,17,モクレン科,Magnoliaceae,ホオノキ,Magnolia obovata Thunb.,自生,
1269,1,,17,モクレン科,Magnoliaceae,コブシモドキ,Magnolia pseudokobus C.Abe et Akasawa,自生,固有
1270,1,,17,モクレン科,Magnoliaceae,タムシバ,Magnolia salicifolia (Siebld et Zucc.) Maxim.,自生,固有
1271,1,,17,モクレン科,Magnoliaceae,オオヤマレンゲ,Magnolia sieboldii K.Koch subsp. japonica K.Ueda,自生,
1273,1,,17,モクレン科,Magnoliaceae,シデコブシ,Magnolia stellata (Siebold et Zucc.) Maxim.,自生,固有
1291,1,,21,バンレイシ科,Annonaceae,クロボウモドキ,Monoon liukiuense (Hatus.) B.Xue et R.M.K.Saunders,自生,
1407,1,,26,ハスノハギリ科,Hernandiaceae,ハスノハギリ,Hernandia nymphaeifolia (C.Presl) Kubitzki,自生,
1408,1,,26,ハスノハギリ科,Hernandiaceae,テングノハナ,Illigera luzonensis (C.Presl) Merr.,自生,
1308,1,,28,クスノキ科,Lauraceae,バリバリノキ,Actinodaphne acuminata (Blume) Meisn.,自生,
1309,1,,28,クスノキ科,Lauraceae,アカハダクスノキ,Beilschmiedia erythrophloia Hayata,自生,
1310,1,,28,クスノキ科,Lauraceae,ケスナヅル,Cassytha filiformis L. var. duripraticola Hatus.,自生,
1311,1,,28,クスノキ科,Lauraceae,スナヅル,Cassytha filiformis L. var. filiformis,自生,
1312,1,,28,クスノキ科,Lauraceae,イトスナヅル,Cassytha pergracilis (Hatus.) Hatus.,自生,固有
1314,1,,28,クスノキ科,Lauraceae,マルバヤブニッケイ,Cinnamomum brevifolium Miq.,自生,
1316,1,,28,クスノキ科,Lauraceae,クスノキ,Cinnamomum camphora (L.) J.Presl,自生,
1319,1,,28,クスノキ科,Lauraceae,マルバニッケイ,Cinnamomum daphnoides Siebold et Zucc.,自生,固有
1320,1,,28,クスノキ科,Lauraceae,シバニッケイ,Cinnamomum doederleinii Engl. var. doederleinii,自生,固有
1321,1,,28,クスノキ科,Lauraceae,ケシバニッケイ,Cinnamomum doederleinii Engl. var. pseudodaphnoides Hatus.,自生,固有
1330,1,,28,クスノキ科,Lauraceae,ニッケイ,Cinnamomum sieboldii Meisn.,自生,
1332,4,h,28,クスノキ科,Lauraceae,ヒロハヤブニッケイ,Cinnamomum x durifruticeticola Hatus.,自生,固有
1333,4,h,28,クスノキ科,Lauraceae,シバヤブニッケイ,Cinnamomum x takushii Hatus.,自生,
1334,1,,28,クスノキ科,Lauraceae,ヤブニッケイ,Cinnamomum yabunikkei H.Ohba,自生,
1335,4,h,28,クスノキ科,Lauraceae,ウスゲヤブニッケイ,Cinnamomum yabunikkei H.Ohba f. pilosum (Hatus.) Yonek.,自生,
1336,1,,28,クスノキ科,Lauraceae,シナクスモドキ,Cryptocarya chinensis (Hance) Hemsl.,自生,
1347,1,,28,クスノキ科,Lauraceae,オキナワコウバシ,Lindera communis Hemsl. var. okinawensis Hatus.,自生,固有
1348,1,,28,クスノキ科,Lauraceae,カナクギノキ,Lindera erythrocarpa Makino,自生,
1349,1,,28,クスノキ科,Lauraceae,ヤマコウバシ,Lindera glauca (Siebold et Zucc.) Blume,自生,
1350,1,,28,クスノキ科,Lauraceae,ヒメクロモジ,Lindera lancea (Momiy.) H.Koyama,自生,固有
1352,1,,28,クスノキ科,Lauraceae,ダンコウバイ,Lindera obtusiloba Blume,自生,
1353,3,f,28,クスノキ科,Lauraceae,マルバダンコウバイ,Lindera obtusiloba Blume f. ovata (Nakai) T.B.Lee,自生,
1354,1,,28,クスノキ科,Lauraceae,アブラチャン,Lindera praecox (Siebold et Zucc.) Blume var. praecox,自生,
1355,1,,28,クスノキ科,Lauraceae,ケアブラチャン,Lindera praecox (Siebold et Zucc.) Blume var. pubescens (Honda) Kitam.,自生,固有
1356,1,,28,クスノキ科,Lauraceae,ケクロモジ,Lindera sericea (Siebold et Zucc.) Blume  var. sericea,自生,
1357,1,,28,クスノキ科,Lauraceae,ウスゲクロモジ,Lindera sericea (Siebold et Zucc.) Blume var. glabrata Blume,自生,固有
1358,1,,28,クスノキ科,Lauraceae,シロモジ,Lindera triloba (Siebold et Zucc.) Blume,自生,固有
1359,3,f,28,クスノキ科,Lauraceae,マルバシロモジ,Lindera triloba (Siebold et Zucc.) Blume f. integra (Sakata) comb. nud.,自生,
1360,1,,28,クスノキ科,Lauraceae,オオバクロモジ,Lindera umbellata Thunb. var. membranacea (Maxim.) Momiy. ex H.Hara et M.Mizush.,自生,固有
1361,3,f,28,クスノキ科,Lauraceae,キミノオオバクロモジ,Lindera umbellata Thunb. var. membranacea (Maxim.) Momiy. ex H.Hara et M.Mizush.  f. aurantiaca (Murai) Okuyama,自生,
1362,1,,28,クスノキ科,Lauraceae,クロモジ,Lindera umbellata Thunb. var. umbellata,自生,固有
1363,4,h,28,クスノキ科,Lauraceae,アブラシロモジ,"Lindera x paratriloba Okuhara, nom. nud.",自生,
1366,1,,28,クスノキ科,Lauraceae,カゴノキ,Litsea coreana H.Lév.,自生,
1367,1,,28,クスノキ科,Lauraceae,アオモジ,Litsea cubeba (Lour.) Pers.,自生,固有
1373,1,,28,クスノキ科,Lauraceae,ハマビワ,Litsea japonica (Thunb.) Juss.,自生,
1376,1,,28,クスノキ科,Lauraceae,オガサワラアオグス,Machilus boninensis Koidz.,自生,固有
1377,1,,28,クスノキ科,Lauraceae,ホソバタブ,Machilus japonica Siebold et Zucc.,自生,
1379,1,,28,クスノキ科,Lauraceae,コブガシ,Machilus kobu Maxim.,自生,固有
1383,1,,28,クスノキ科,Lauraceae,テリハコブガシ,Machilus pseudokobu Koidz.,自生,固有
1384,1,,28,クスノキ科,Lauraceae,タブノキ,Machilus thunbergii Siebold et Zucc.,自生,
1388,1,,28,クスノキ科,Lauraceae,イヌガシ,Neolitsea aciculata (Blume) Koidz.,自生,
1391,1,,28,クスノキ科,Lauraceae,オガサワラシロダモ,Neolitsea boninensis Koidz.,自生,固有
1394,1,,28,クスノキ科,Lauraceae,ナガバシロダモ,Neolitsea gilva Koidz.,自生,固有
1398,3,f,28,クスノキ科,Lauraceae,キミノシロダモ,Neolitsea sericea (Blume) Koidz. f. xanthocarpa (Makino) Okuyama,自生,
1399,1,,28,クスノキ科,Lauraceae,ダイトウシロダモ,Neolitsea sericea (Blume) Koidz. var. argentea Hatus.,自生,固有
1400,1,,28,クスノキ科,Lauraceae,キンショクダモ,Neolitsea sericea (Blume) Koidz. var. aurata (Hayata) Hatus.,自生,
1401,1,,28,クスノキ科,Lauraceae,シロダモ,Neolitsea sericea (Blume) Koidz. var. sericea,自生,
12164,1,,29,ショウブ科,Acoraceae,ショウブ,Acorus calamus L.,自生,
12166,1,,29,ショウブ科,Acoraceae,セキショウ,Acorus gramineus Sol. ex Aiton var. gramineus,自生,
12167,1,,29,ショウブ科,Acoraceae,アリスガワセキショウ,Acorus gramineus Sol. ex Aiton var. pusillus (Siebold ex Schott) Engl.,自生,
12178,1,,30,サトイモ科,Araceae,ヤエヤマクワズイモ,Alocasia atropurpurea Engl.,自生,固有
12179,1,,30,サトイモ科,Araceae,シマクワズイモ,Alocasia cucullata (Lour.) G.Don,自生,
12185,1,,30,サトイモ科,Araceae,クワズイモ,Alocasia odora (Lodd.) K.Koch,自生,
12188,4,h,30,サトイモ科,Araceae,アイノコクワズイモ,Alocasia x okinawensis Tawada,自生,
12190,1,,30,サトイモ科,Araceae,ヤマコンニャク,Amorphophallus kiusianus (Makino) Makino,自生,
12204,1,,30,サトイモ科,Araceae,ツルギテンナンショウ,Arisaema abei Seriz.,自生,
12206,1,,30,サトイモ科,Araceae,ヒガンマムシグサ,Arisaema aequinoctiale Nakai et F.Maek.,自生,固有
12208,1,,30,サトイモ科,Araceae,ホソバテンナンショウ,Arisaema angustatum Franch. et Sav.,自生,
12209,1,,30,サトイモ科,Araceae,オドリコテンナンショウ,Arisaema aprile J.Murata,自生,固有
12210,1,,30,サトイモ科,Araceae,ホロテンナンショウ,Arisaema cucullatum M.Hotta,自生,固有
12211,1,,30,サトイモ科,Araceae,エヒメテンナンショウ,Arisaema ehimense J.Murata et J.Ohno,自生,
12213,1,,30,サトイモ科,Araceae,ヤマザトマムシグサ,Arisaema galeiforme Seriz.,自生,固有
12214,3,f,30,サトイモ科,Araceae,ミドリヤマザトマムシグサ,Arisaema galeiforme Seriz. f. viride Seriz.,自生,固有
12215,1,,30,サトイモ科,Araceae,ハチジョウテンナンショウ,Arisaema hatizyoense Nakai,自生,
12216,1,,30,サトイモ科,Araceae,アマミテンナンショウ,Arisaema heterocephalum Koidz. subsp. heterocephalum,自生,固有
12217,1,,30,サトイモ科,Araceae,オオアマミテンナンショウ,Arisaema heterocephalum Koidz. subsp. majus (Seriz.) J.Murata,自生,固有
12218,1,,30,サトイモ科,Araceae,オキナワテンナンショウ,Arisaema heterocephalum Koidz. subsp. okinawense H.Ohashi et J.Murata,自生,固有
12219,1,,30,サトイモ科,Araceae,マイヅルテンナンショウ,Arisaema heterophyllum Blume,自生,
12220,1,,30,サトイモ科,Araceae,イナヒロハテンナンショウ,Arisaema inaense (Seriz.) Seriz. ex K.Sasamura et J.Murata,自生,固有
12221,1,,30,サトイモ科,Araceae,イシヅチテンナンショウ,Arisaema ishizuchiense Murata,自生,固有
12222,1,,30,サトイモ科,Araceae,オモゴウテンナンショウ,Arisaema iyoanum Makino subsp. iyoanum,自生,固有
12223,1,,30,サトイモ科,Araceae,シコクテンナンショウ,Arisaema iyoanum Makino subsp. nakaianum (Kitag. et Ohba) H.Ohashi et J.Murata,自生,固有
12224,1,,30,サトイモ科,Araceae,マムシグサ,Arisaema japonicum Blume,自生,
12225,1,,30,サトイモ科,Araceae,トクノシマテンナンショウ,Arisaema kawashimae Seriz.,自生,固有
12226,1,,30,サトイモ科,Araceae,キシダマムシグサ,Arisaema kishidae Makino ex Nakai,自生,固有
12227,1,,30,サトイモ科,Araceae,ヒメウラシマソウ,Arisaema kiushianum Makino,自生,固有
